Embarked,Age,Sex,Pclass,Survived
S,22.0,male,3rd,0
C,38.0,female,1st,1
S,26.0,female,3rd,1
S,35.0,female,1st,1
S,35.0,male,3rd,0
Q,,male,3rd,0
S,54.0,male,1st,0
S,2.0,male,3rd,0
S,27.0,female,3rd,1
C,14.0,female,2nd,1
S,4.0,female,3rd,1
S,58.0,female,1st,1
S,20.0,male,3rd,0
S,39.0,male,3rd,0
S,14.0,female,3rd,0
S,55.0,female,2nd,1
Q,2.0,male,3rd,0
S,,male,2nd,1
S,31.0,female,3rd,0
C,,female,3rd,1
S,35.0,male,2nd,0
S,34.0,male,2nd,1
Q,15.0,female,3rd,1
S,28.0,male,1st,1
S,8.0,female,3rd,0
S,38.0,female,3rd,1
C,,male,3rd,0
S,19.0,male,1st,0
Q,,female,3rd,1
S,,male,3rd,0
C,40.0,male,1st,0
C,,female,1st,1
Q,,female,3rd,1
S,66.0,male,2nd,0
C,28.0,male,1st,0
S,42.0,male,1st,0
C,,male,3rd,1
S,21.0,male,3rd,0
S,18.0,female,3rd,0
C,14.0,female,3rd,1
S,40.0,female,3rd,0
S,27.0,female,2nd,0
C,,male,3rd,0
C,3.0,female,2nd,1
Q,19.0,female,3rd,1
S,,male,3rd,0
Q,,male,3rd,0
Q,,female,3rd,1
C,,male,3rd,0
S,18.0,female,3rd,0
S,7.0,male,3rd,0
S,21.0,male,3rd,0
C,49.0,female,1st,1
S,29.0,female,2nd,1
C,65.0,male,1st,0
S,,male,1st,1
S,21.0,female,2nd,1
C,28.5,male,3rd,0
S,5.0,female,2nd,1
S,11.0,male,3rd,0
C,22.0,male,3rd,0
,38.0,female,1st,1
S,45.0,male,1st,0
S,4.0,male,3rd,0
C,,male,1st,0
C,,male,3rd,1
S,29.0,female,2nd,1
S,19.0,male,3rd,0
S,17.0,female,3rd,1
S,26.0,male,3rd,0
S,32.0,male,2nd,0
S,16.0,female,3rd,0
S,21.0,male,2nd,0
C,26.0,male,3rd,0
S,32.0,male,3rd,1
S,25.0,male,3rd,0
S,,male,3rd,0
S,,male,3rd,0
S,0.83,male,2nd,1
S,30.0,female,3rd,1
S,22.0,male,3rd,0
S,29.0,male,3rd,1
Q,,female,3rd,1
S,28.0,male,1st,0
S,17.0,female,2nd,1
S,33.0,female,3rd,1
S,16.0,male,3rd,0
S,,male,3rd,0
S,23.0,female,1st,1
S,24.0,male,3rd,0
S,29.0,male,3rd,0
S,20.0,male,3rd,0
S,46.0,male,1st,0
S,26.0,male,3rd,0
S,59.0,male,3rd,0
S,,male,3rd,0
C,71.0,male,1st,0
C,23.0,male,1st,1
S,34.0,female,2nd,1
S,34.0,male,2nd,0
S,28.0,female,3rd,0
S,,male,3rd,0
S,21.0,male,1st,0
S,33.0,male,3rd,0
S,37.0,male,3rd,0
S,28.0,male,3rd,0
S,21.0,female,3rd,1
S,,male,3rd,1
S,38.0,male,3rd,0
Q,,female,3rd,1
S,47.0,male,1st,0
C,14.5,female,3rd,0
S,22.0,male,3rd,0
S,20.0,female,3rd,0
C,17.0,female,3rd,0
S,21.0,male,3rd,0
Q,70.5,male,3rd,0
S,29.0,male,2nd,0
C,24.0,male,1st,0
S,2.0,female,3rd,0
S,21.0,male,2nd,0
S,,male,3rd,0
C,32.5,male,2nd,0
S,32.5,female,2nd,1
S,54.0,male,1st,0
C,12.0,male,3rd,1
Q,,male,3rd,0
S,24.0,male,3rd,1
C,,female,3rd,1
S,45.0,male,3rd,0
C,33.0,male,3rd,0
S,20.0,male,3rd,0
S,47.0,female,3rd,0
S,29.0,female,2nd,1
S,25.0,male,2nd,0
C,23.0,male,2nd,0
S,19.0,female,1st,1
S,37.0,male,1st,0
S,16.0,male,3rd,0
C,24.0,male,1st,0
C,,female,3rd,0
S,22.0,female,3rd,1
S,24.0,female,3rd,1
Q,19.0,male,3rd,0
S,18.0,male,2nd,0
S,19.0,male,2nd,0
S,27.0,male,3rd,1
S,9.0,female,3rd,0
S,36.5,male,2nd,0
S,42.0,male,2nd,0
S,51.0,male,2nd,0
S,22.0,female,1st,1
S,55.5,male,3rd,0
S,40.5,male,3rd,0
S,,male,3rd,0
C,51.0,male,1st,0
Q,16.0,female,3rd,1
S,30.0,male,3rd,0
S,,male,3rd,0
S,,male,3rd,0
S,44.0,male,3rd,0
S,40.0,female,2nd,1
S,26.0,male,3rd,0
S,17.0,male,3rd,0
S,1.0,male,3rd,0
S,9.0,male,3rd,1
S,,female,1st,1
S,45.0,female,3rd,0
S,,male,1st,0
S,28.0,male,3rd,0
S,61.0,male,1st,0
Q,4.0,male,3rd,0
S,1.0,female,3rd,1
S,21.0,male,3rd,0
C,56.0,male,1st,0
S,18.0,male,3rd,0
S,,male,3rd,0
C,50.0,female,1st,0
S,30.0,male,2nd,0
S,36.0,male,3rd,0
S,,female,3rd,0
C,,male,2nd,0
S,9.0,male,3rd,0
S,1.0,male,2nd,1
S,4.0,female,3rd,1
S,,male,1st,0
Q,,female,3rd,1
S,45.0,male,1st,1
Q,40.0,male,3rd,0
S,36.0,male,3rd,0
S,32.0,female,2nd,1
S,19.0,male,2nd,0
S,19.0,female,3rd,1
S,3.0,male,2nd,1
C,44.0,female,1st,1
C,58.0,female,1st,1
Q,,male,3rd,0
S,42.0,male,3rd,0
Q,,female,3rd,1
S,24.0,female,2nd,0
S,28.0,male,3rd,0
S,,male,3rd,0
S,34.0,male,3rd,0
C,45.5,male,3rd,0
S,18.0,male,3rd,1
S,2.0,female,3rd,0
S,32.0,male,3rd,0
C,26.0,male,3rd,1
Q,16.0,female,3rd,1
C,40.0,male,1st,1
S,24.0,male,3rd,0
S,35.0,female,2nd,1
S,22.0,male,3rd,0
S,30.0,male,2nd,0
Q,,male,3rd,0
C,31.0,female,1st,1
S,27.0,female,3rd,1
S,42.0,male,2nd,0
C,32.0,female,1st,1
S,30.0,male,2nd,0
S,16.0,male,3rd,1
S,27.0,male,2nd,0
S,51.0,male,3rd,0
S,,male,3rd,0
S,38.0,male,1st,1
S,22.0,male,3rd,0
S,19.0,male,2nd,1
S,20.5,male,3rd,0
S,18.0,male,2nd,0
S,,female,3rd,0
S,35.0,female,1st,1
S,29.0,male,3rd,0
S,59.0,male,2nd,0
S,5.0,female,3rd,1
S,24.0,male,2nd,0
S,,female,3rd,0
S,44.0,male,2nd,0
S,8.0,female,2nd,1
S,19.0,male,2nd,0
S,33.0,male,2nd,0
C,,female,3rd,0
Q,,female,3rd,1
S,29.0,male,2nd,0
